"mon_first","id","firstpurchase","lastpurchase","purchases","monetary","f3m","m3m","r","lifetime","f_btts","bt","rfm_recency","rfm_frequency","rfm_monetary"
2019-12-01,1074900,2019-12-09,2019-12-23,3,1261.5,3,1261.5,8,14,"3",,2,4,2
2019-12-01,702330,2019-12-16,2019-12-16,1,1262.4,1,1262.4,15,0,"1",,4,3,2
2019-12-01,717612,2019-12-02,2019-12-02,1,1262.4,1,1262.4,29,0,"1",,5,1,2
2019-12-01,724080,2019-12-16,2019-12-16,1,1262.4,1,1262.4,15,0,"1",,4,3,2
2019-12-01,2400378,2019-12-23,2019-12-23,1,1262.4,1,1262.4,8,0,"1",,3,1,2
2019-12-01,2432232,2019-12-16,2019-12-16,1,1262.4,1,1262.4,15,0,"1",,4,1,2
2019-12-01,722418,2019-12-23,2019-12-23,1,1262.4,1,1262.4,8,0,"1",,3,3,2
2019-12-01,4210794,2019-12-23,2019-12-23,1,1262.4,1,1262.4,8,0,"1",,1,1,2
2019-12-01,3169476,2019-12-09,2019-12-16,3,1266.9,3,1266.9,15,7,"3",,4,4,2
2019-12-01,716196,2019-12-09,2019-12-09,1,1268.88,1,1268.88,22,0,"1",,5,1,2
2019-12-01,838134,2019-12-02,2019-12-02,1,1268.88,1,1268.88,29,0,"1",,5,1,2
2019-12-01,704754,2019-12-16,2019-12-16,1,1268.88,1,1268.88,15,0,"1",,3,1,2
2019-12-01,720036,2019-12-16,2019-12-16,1,1268.88,1,1268.88,15,0,"1",,3,1,2
2019-12-01,4191444,2019-12-16,2019-12-16,1,1268.88,1,1268.88,15,0,"1",,3,1,2
2019-12-01,4112346,2019-12-16,2019-12-16,1,1268.88,1,1268.88,15,0,"1",,3,1,2
2019-12-01,2441478,2019-12-16,2019-12-16,1,1268.88,1,1268.88,15,0,"1",,4,1,2
2019-12-01,702804,2019-12-09,2019-12-09,1,1268.88,1,1268.88,22,0,"1",,5,1,2
